id_cliente_anon,zona,tipo_cliente,mes,tipo_servicio,superficie_m2,distancia_km,tecnico_id,servicios_mes,monto_mensual_ars
1,RAWSON,Residencial,1,Fumigación,301,10.7,1,3,29002
1,RAWSON,Residencial,2,Desratización,76,11.0,6,1,6273
1,RAWSON,Residencial,3,Desinfección,99,9.0,8,0,4280
1,RAWSON,Residencial,4,Desinfección,53,9.7,4,0,497
1,RAWSON,Residencial,5,Fumigación,110,9.9,4,1,9185
1,RAWSON,Residencial,6,Fumigación,136,8.8,5,1,7269
1,RAWSON,Residencial,7,Fumigación,517,8.4,6,1,12597
1,RAWSON,Residencial,8,Desratización,179,10.6,7,0,0
1,RAWSON,Residencial,9,Desinfección,113,9.0,2,0,0
1,RAWSON,Residencial,10,Desinfección,63,9.1,1,0,0
1,RAWSON,Residencial,11,Fumigación,100,12.0,8,1,7844
1,RAWSON,Residencial,12,Desratización,90,10.5,5,2,14757
2,DESCONOCIDA,Comercial/Industrial,1,Desinfección,134,14.2,7,3,23007
2,DESCONOCIDA,Comercial/Industrial,2,Fumigación,204,13.2,1,4,35724
2,DESCONOCIDA,Comercial/Industrial,3,Fumigación,312,16.1,7,2,20449
2,DESCONOCIDA,Comercial/Industrial,4,Fumigación,337,13.2,7,2,22700
2,DESCONOCIDA,Comercial/Industrial,5,Fumigación,571,15.2,8,1,14238
2,DESCONOCIDA,Comercial/Industrial,6,Fumigación,818,12.9,4,2,21433
2,DESCONOCIDA,Comercial/Industrial,7,Fumigación,333,12.4,5,2,24092
2,DESCONOCIDA,Comercial/Industrial,8,Fumigación,615,13.8,3,4,52310
2,DESCONOCIDA,Comercial/Industrial,9,Desinfección,307,13.5,5,3,27272
2,DESCONOCIDA,Comercial/Industrial,10,Fumigación,234,12.4,2,1,15446
2,DESCONOCIDA,Comercial/Industrial,11,Fumigación,555,12.4,4,3,35959
2,DESCONOCIDA,Comercial/Industrial,12,Fumigación,304,12.8,3,3,30842
3,DESCONOCIDA,Residencial,1,Fumigación,91,13.4,8,0,0
3,DESCONOCIDA,Residencial,2,Desinfección,84,12.8,4,1,10437
3,DESCONOCIDA,Residencial,3,Fumigación,60,16.1,2,0,0
3,DESCONOCIDA,Residencial,4,Fumigación,145,12.4,4,2,21253
3,DESCONOCIDA,Residencial,5,Desinfección,102,12.9,6,1,13268
3,DESCONOCIDA,Residencial,6,Fumigación,235,15.0,3,1,12256
3,DESCONOCIDA,Residencial,7,Desinfección,356,13.8,8,1,3843
3,DESCONOCIDA,Residencial,8,Fumigación,83,14.0,8,1,8976
3,DESCONOCIDA,Residencial,9,Fumigación,68,13.4,5,0,3673
3,DESCONOCIDA,Residencial,10,Desratización,314,12.9,5,0,0
3,DESCONOCIDA,Residencial,11,Desratización,154,12.9,6,3,32444
3,DESCONOCIDA,Residencial,12,Desinfección,151,13.8,5,2,11983
4,DESCONOCIDA,Residencial,1,Fumigación,170,13.2,3,2,13705
4,DESCONOCIDA,Residencial,2,Fumigación,259,13.1,6,2,20617
4,DESCONOCIDA,Residencial,3,Desinfección,258,14.8,5,2,10671
4,DESCONOCIDA,Residencial,4,Fumigación,201,15.8,8,1,14287
4,DESCONOCIDA,Residencial,5,Fumigación,76,13.7,1,0,0
4,DESCONOCIDA,Residencial,6,Fumigación,55,13.5,6,1,10832
4,DESCONOCIDA,Residencial,7,Fumigación,76,12.2,1,0,4727
4,DESCONOCIDA,Residencial,8,Desratización,62,12.2,5,0,1059
4,DESCONOCIDA,Residencial,9,Fumigación,215,15.5,6,0,0
4,DESCONOCIDA,Residencial,10,Desinfección,98,13.1,2,0,0
4,DESCONOCIDA,Residencial,11,Fumigación,199,13.5,3,2,20828
4,DESCONOCIDA,Residencial,12,Fumigación,141,14.7,6,0,0
5,DESCONOCIDA,Residencial,1,Fumigación,98,12.5,2,1,9450
5,DESCONOCIDA,Residencial,2,Fumigación,84,13.1,6,2,19006
5,DESCONOCIDA,Residencial,3,Desratización,94,12.9,7,1,9276
5,DESCONOCIDA,Residencial,4,Desinfección,68,12.1,4,2,9365
5,DESCONOCIDA,Residencial,5,Desratización,362,14.8,6,0,1912
5,DESCONOCIDA,Residencial,6,Desratización,133,13.2,2,1,12350
5,DESCONOCIDA,Residencial,7,Desinfección,141,12.3,2,1,5715
5,DESCONOCIDA,Residencial,8,Desratización,139,13.8,8,1,11721
5,DESCONOCIDA,Residencial,9,Fumigación,212,12.7,2,3,28104
5,DESCONOCIDA,Residencial,10,Fumigación,90,12.8,7,0,0
5,DESCONOCIDA,Residencial,11,Fumigación,267,12.2,5,1,9064
5,DESCONOCIDA,Residencial,12,Fumigación,118,12.1,7,0,0
6,DESCONOCIDA,Residencial,1,Fumigación,115,12.3,4,4,37769
6,DESCONOCIDA,Residencial,2,Fumigación,291,12.8,8,3,32999
6,DESCONOCIDA,Residencial,3,Desinfección,89,13.2,4,0,9476
6,DESCONOCIDA,Residencial,4,Fumigación,176,14.4,5,0,5210
6,DESCONOCIDA,Residencial,5,Fumigación,139,12.6,1,0,4587
6,DESCONOCIDA,Residencial,6,Fumigación,97,12.7,7,0,0
6,DESCONOCIDA,Residencial,7,Fumigación,193,13.3,1,1,11346
6,DESCONOCIDA,Residencial,8,Desinfección,73,14.4,8,1,9767
6,DESCONOCIDA,Residencial,9,Fumigación,97,12.9,4,0,0
6,DESCONOCIDA,Residencial,10,Desratización,148,12.3,6,0,0
6,DESCONOCIDA,Residencial,11,Desinfección,331,13.5,8,1,10664
6,DESCONOCIDA,Residencial,12,Fumigación,313,15.7,6,1,5665
7,DESCONOCIDA,Residencial,1,Fumigación,178,13.8,3,3,28156
7,DESCONOCIDA,Residencial,2,Desinfección,119,14.5,5,1,10166
7,DESCONOCIDA,Residencial,3,Desinfección,52,13.4,2,1,9186
7,DESCONOCIDA,Residencial,4,Desinfección,231,13.0,3,1,9759
7,DESCONOCIDA,Residencial,5,Desinfección,251,13.5,7,2,16430
7,DESCONOCIDA,Residencial,6,Fumigación,176,14.9,8,1,8248
7,DESCONOCIDA,Residencial,7,Fumigación,122,12.5,1,1,8508
7,DESCONOCIDA,Residencial,8,Fumigación,220,12.9,4,0,0
7,DESCONOCIDA,Residencial,9,Desratización,137,12.9,1,0,0
7,DESCONOCIDA,Residencial,10,Desinfección,128,12.1,8,0,3290
7,DESCONOCIDA,Residencial,11,Fumigación,62,12.3,7,1,9532
7,DESCONOCIDA,Residencial,12,Fumigación,213,13.9,4,2,23762
8,SARMIENTO,Residencial,1,Fumigación,151,61.1,5,1,11983
8,SARMIENTO,Residencial,2,Fumigación,312,61.3,8,2,30035
8,SARMIENTO,Residencial,3,Desinfección,101,60.4,6,2,18133
8,SARMIENTO,Residencial,4,Desinfección,86,61.3,4,1,15132
8,SARMIENTO,Residencial,5,Desratización,250,61.6,3,0,6554
8,SARMIENTO,Residencial,6,Fumigación,281,62.4,8,0,5453
8,SARMIENTO,Residencial,7,Fumigación,141,62.4,3,0,8007
8,SARMIENTO,Residencial,8,Desinfección,225,64.4,3,3,31696
8,SARMIENTO,Residencial,9,Desinfección,117,62.6,3,0,3344
8,SARMIENTO,Residencial,10,Desinfección,121,64.3,2,1,11083
8,SARMIENTO,Residencial,11,Desinfección,177,63.5,1,2,20826
8,SARMIENTO,Residencial,12,Fumigación,120,60.9,5,1,17849
9,DESCONOCIDA,Residencial,1,Fumigación,162,13.3,5,1,11993
9,DESCONOCIDA,Residencial,2,Fumigación,149,16.6,5,1,15183
9,DESCONOCIDA,Residencial,3,Fumigación,77,14.0,1,2,19922
9,DESCONOCIDA,Residencial,4,Fumigación,162,12.5,7,2,17551
9,DESCONOCIDA,Residencial,5,Fumigación,78,13.5,8,3,23473
9,DESCONOCIDA,Residencial,6,Desinfección,215,14.2,4,3,26592
9,DESCONOCIDA,Residencial,7,Fumigación,252,12.7,5,1,9093
9,DESCONOCIDA,Residencial,8,Fumigación,128,15.7,7,0,3368
9,DESCONOCIDA,Residencial,9,Desratización,332,12.1,5,0,1527
9,DESCONOCIDA,Residencial,10,Fumigación,278,14.7,8,2,19498
9,DESCONOCIDA,Residencial,11,Fumigación,163,15.1,6,1,7609
9,DESCONOCIDA,Residencial,12,Desinfección,121,14.0,2,2,14579
10,DESCONOCIDA,Residencial,1,Fumigación,240,14.7,8,4,36578
10,DESCONOCIDA,Residencial,2,Fumigación,336,12.4,8,0,0
10,DESCONOCIDA,Residencial,3,Fumigación,170,12.5,6,1,2624
10,DESCONOCIDA,Residencial,4,Fumigación,107,12.8,5,2,12270
10,DESCONOCIDA,Residencial,5,Desratización,203,15.6,8,2,21675
10,DESCONOCIDA,Residencial,6,Desinfección,141,16.1,5,3,29947
10,DESCONOCIDA,Residencial,7,Desinfección,84,14.6,4,1,9120
