cliente_numero,cuit,cliente_id,direccion_id,telefono,email,fuente,observacion
1,,CLI-001,DIR-001,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
2,,CLI-002,DIR-002,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
3,,CLI-003,DIR-003,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
4,,CLI-004,DIR-004,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
5,,CLI-005,DIR-005,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
6,,CLI-006,DIR-006,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
7,,CLI-007,DIR-007,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
8,,CLI-008,DIR-008,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
9,,CLI-009,DIR-009,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
10,,CLI-010,DIR-010,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
11,,CLI-011,DIR-011,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
12,,CLI-012,DIR-012,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
13,,CLI-013,DIR-013,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
14,,CLI-014,DIR-014,,,servicios_u_ot_fusionweb,Cliente generado para compatibilidad con archivo de servicios
